name,shorttype,length,index,type,defaultValue,property_Text,properties_Id
Filler     _116,A,3,593,String,   ,Filler,6
CNTR RISK_1,A,2,596,String,MT,Value for field,6
Dsp_of_CNTR CTZN_1,A,8,598,String,18021923,,6
Filler     _117,A,3,606,String,   ,Filler,6
CNTR CTZN_1,A,2,609,String,MT,Value for field,6
Dsp_of_CNTR RES_1,A,8,611,String,19021925,,6
Filler     _118,A,3,619,String,   ,Filler,6
CNTR RES_1,A,2,622,String,MT,Value for field,6
Dsp_of_NXT REV DT_1,A,8,624,String,20081927,,6
Filler     _119,A,3,632,String,   ,Filler,6
NXT REV DT_1,N,8,635,Int,20170213,Value for field,6
Dsp_of_ID-CARD-1_1,A,8,643,String,21081933,,6
Filler     _120,A,3,651,String,   ,Filler,6
ID-CARD-1_1,A,8,654,String,652371M ,Value for field,6
Dsp_of_ID-CARD-2_1,A,8,662,String,22081941,,6
Filler     _121,A,3,670,String,   ,Filler,6
ID-CARD-2_1,A,8,673,String,        ,Value for field,6
Dsp_of_ID-CARD-3 _1,A,8,681,String,23081949,,6
Filler     _122,A,3,689,String,   ,Filler,6
ID-CARD-3 _1,A,8,692,String,        ,Value for field,6
Dsp_of_SOC ECO GR_1,A,8,700,String,24011957,,6
Filler     _123,A,3,708,String,   ,Filler,6
SOC ECO GR_1,N,1,711,Int,1,Value for field,6
Dsp_of_FTHR/SPOUS_1,A,8,712,String,25121958,,6
Filler     _124,A,3,720,String,   ,Filler,6
FTHR/SPOUS_1,A,12,723,String,JOHN MARY   ,Value for field,6
Dsp_of_CONN CLNT1_1,A,8,735,String,26061970,,6
Filler     _125,A,3,743,String,   ,Filler,6
CONN CLNT1_1,A,6,746,String,      ,Value for field,6
Dsp_of_CONN CLNT2_1,A,8,752,String,27061976,,6
Filler     _126,A,3,760,String,   ,Filler,6
CONN CLNT2_1,A,6,763,String,      ,Value for field,6
Dsp_of_CONN CLNT3_1,A,8,769,String,28061982,,6
Filler     _127,A,3,777,String,   ,Filler,6
CONN CLNT3_1,A,6,780,String,      ,Value for field,6
Dsp_of_CONN CLNT4_1,A,8,786,String,29061988,,6
Filler     _128,A,3,794,String,   ,Filler,6
CONN CLNT4_1,A,6,797,String,      ,Value for field,6
Dsp_of_PRIME A/C_1,A,8,803,String,30130155,,6
Filler     _129,A,3,811,String,   ,Filler,6
PRIME A/C_1,A,13,814,String,             ,Value for field,6
Dsp_of_BANK FLAG_1,A,8,827,String,31010175,,6
Filler     _130,A,3,835,String,   ,Filler,6
BANK FLAG_1,N,1,838,Int,0,Value for field,6
Dsp_of_NON-RES CD_1,A,8,839,String,32010148,,6
Filler     _131,A,3,847,String,   ,Filler,6
NON-RES CD_1,A,1,850,String,0,Value for field,6
Dsp_of_STAFF IND._1,A,8,851,String,33010184,,6
Filler     _132,A,3,859,String,   ,Filler,6
STAFF IND._1,A,1,862,String,0,Value for field,6
Dsp_of_SEX INDIC._1,A,8,863,String,34010186,,6
Filler     _133,A,3,871,String,   ,Filler,6
SEX INDIC._1,A,1,874,String,F,Value for field,6
Dsp_of_LANG IND _1,A,8,875,String,35010185,,6
Filler     _134,A,3,883,String,   ,Filler,6
LANG IND _1,N,1,886,Int,0,Value for field,6
Dsp_of_GAP ANL IN_1,A,8,887,String,36010187,,6
Filler     _135,A,3,895,String,   ,Filler,6
GAP ANL IN_1,N,1,898,Int,0,Value for field,6
Dsp_of_CORR ADD_1,A,8,899,String,37060190,,6
Filler     _136,A,3,907,String,   ,Filler,6
CORR ADD_1,A,6,910,String,      ,Value for field,6
Dsp_of_INT PAID _1,A,8,916,String,38010291,,6
Filler     _137,A,3,924,String,   ,Filler,6
INT PAID _1,N,1,927,Int,0,Value for field,6
Dsp_of_INT RECD._1,A,8,928,String,39010292,,6
Filler     _138,A,3,936,String,   ,Filler,6
INT RECD._1,N,1,939,Int,0,Value for field,6
Dsp_of_FX FUT IND_1,A,8,940,String,40010299,,6
Filler     _139,A,3,948,String,   ,Filler,6
FX FUT IND_1,N,1,951,Int,0,Value for field,6
Dsp_of_COMM CODE _1,A,8,952,String,41010399,,6
Filler     _140,A,3,960,String,   ,Filler,6
COMM CODE _1,A,1,963,String,0,Value for field,6
Dsp_of_ALT. MSG.?_1,A,8,964,String,42010385,,6
Filler     _141,A,3,972,String,   ,Filler,6
ALT. MSG.?_1,N,1,975,Int,0,Value for field,6
Dsp_of_FIN. INST._1,A,8,976,String,43010396,,6
Filler     _142,A,3,984,String,   ,Filler,6
FIN. INST._1,N,1,987,Int,0,Value for field,6
Dsp_of_TAX FLAG_1,A,8,988,String,44010397,,6
Filler     _143,A,3,996,String,   ,Filler,6
TAX FLAG_1,A,1,999,String, ,Value for field,6
Dsp_of_LABEL PRT _1,A,8,1000,String,45010374,,6
Filler     _144,A,3,1008,String,   ,Filler,6
LABEL PRT _1,N,1,1011,Int,0,Value for field,6
Dsp_of_STMT FLAG_1,A,8,1012,String,46011117,,6
Filler     _145,A,3,1020,String,   ,Filler,6
STMT FLAG_1,N,1,1023,Int,0,Value for field,6
Dsp_of_FILLER_1,A,8,1024,String,47070168,,6
Filler     _146,A,3,1032,String,   ,Filler,6
FILLER_1,A,7,1035,String,       ,Value for field,6
Dsp_of_BRANCH NO_1,A,8,1042,String,48041848,,6
Filler     _147,A,3,1050,String,   ,Filler,6
BRANCH NO_1,N,4,1053,Int,0005,Value for field,6
Dsp_of_TITLES_1,A,8,1057,String,49100281,,6
Filler     _148,A,3,1065,String,   ,Filler,6
TITLES_1,A,10,1068,String,          ,Value for field,6
Dsp_of_ZONE _1,A,8,1078,String,50011994,,6
Filler     _149,A,3,1086,String,   ,Filler,6
ZONE _1,A,1,1089,String,A,Value for field,6
Dsp_of_ALTKEY ONE_1,A,8,1090,String,51151164,,6
Filler     _150,A,3,1098,String,   ,Filler,6
ALTKEY ONE_1,A,15,1101,String,652371M        ,Value for field,6
Dsp_of_MAIDEN SNM,A,8,1116,String,52301995,,6
Filler     _151,A,3,1124,String,   ,Filler,6
MAIDEN SNM,A,30,1127,String,CAMENZULI                     ,Value for field,6
Dsp_of_DEPT.INDIC_1,A,8,1157,String,53011908,,6
Filler     _152,A,3,1165,String,   ,Filler,6
DEPT.INDIC_1,N,1,1168,Int,0,Value for field,6
Dsp_of_RSK GRADE_1,A,8,1169,String,54021909,,6
Filler     _153,A,3,1177,String,   ,Filler,6
RSK GRADE_1,A,2,1180,String,R2,Value for field,6
Dsp_of_CUST TYPE,A,8,1182,String,55011911,,6
Filler     _154,A,3,1190,String,   ,Filler,6
CUST TYPE,A,1,1193,String,P,Value for field,6
Dsp_of_DOC.IN.ORD_1,A,8,1194,String,56012025,,6
Filler     _155,A,3,1202,String,   ,Filler,6
DOC.IN.ORD_1,A,1,1205,String,Y,Value for field,6
Dsp_of_DOC. TYPE_1,A,8,1206,String,57012032,,6
Filler     _156,A,3,1214,String,   ,Filler,6
DOC. TYPE_1,A,1,1217,String,I,Value for field,6
Dsp_of_CNTR ISSUE_1,A,8,1218,String,58022033,,6
Filler     _157,A,3,1226,String,   ,Filler,6
CNTR ISSUE_1,A,2,1229,String,MT,Value for field,6
Dsp_of_REL. PARTY_1,A,8,1231,String,59012036,,6
Filler     _158,A,3,1239,String,   ,Filler,6
REL. PARTY_1,A,1,1242,String,N,Value for field,6
Dsp_of_DTE INSERT_1,A,8,1243,String,60082026,,6
Filler     _159,A,3,1251,String,   ,Filler,6
DTE INSERT_1,N,8,1254,Int,20170213,Value for field,6
Destination_Mailbox,A,1,0,String,b,This field identifies the delivery system to the TPS. Transactions generated by BranchPower set this field to a. Other delivery systems can use any value.,7
Destination_Country_Code,N,3,1,Int,470,The 3-digit ISO country code of the destination bank. This field is used in conjunction with the Destination Interchange Member and the Destination Branch Number to determine the BankMaster branch number for the destination account.,7
Destination_IMD_Code,N,6,4,Int,512345,The 6 -digit IMD of the destination bank.,7
Destination_Branch_Number,N,4,10,Int,0005,The destination branch number.,7
Source_Mailbox,A,1,14,String,a,This field identifies the type of processing to be carried out on the transaction. The following values are currently in use:,7
Source_Country_Code,N,3,15,Int,470,The 3-digit ISO country code of the bank at which the transaction was entered.,7
Source_IMD_Code,N,6,18,Int,512345,The 6-digit IMD of the bank at which the transaction was entered.,7
Source_Branch_Number,N,4,24,Int,0019,The branch number of the branch at which the transaction was entered.,7
Business_Period,N,4,28,Int,0000,Not currently used.,7
Message_Type,N,1,32,Int,1,This field should be set to 1 (response message required from the remote server).,7
Sequence_Number,N,6,33,Int,000000,Used by the TPS system software.,7
Time,N,6,39,Int,093517,The time the transaction was entered. It must be in the format HHMMSS.,7
Transaction_Status,N,1,45,Int,0,This field should have a value of 0 to indicate a normal message. It may be intercepted by the TPS CIO module and amended to:,7
Message_Flags,A,1,46,String,@,This field should have a value of 40HEX for a normal message.,7
Reconciliation_Period,N,4,47,Int,0000,Not currently used.,7
Reconciliation_Currency,N,3,51,Int,000,Not currently used.,7
Reconciliation_Amount_Sign,A,1,54,String,0,Not currently used.,7
Reconciliation_Amount,N,14,55,Int,00000000000000,Not currently used.,7
Filler,N,8,69,Int,N       ,This field should be set to zeros.,7
Message_Length,N,4,77,Int,1262,The length of the full request message (including the request header).,7
Transaction_Definition_Id,N,1,81,Int,0,This field works in conjunction with the Inter Branching Flag (displacement 0093) to identify inter-branch transactions.,7
Transaction_Processed_Flag,N,1,82,Int,0,This flag can have the following values :,7
BranchPower_Transaction_Reference_Id,A,4,83,String,BRFO,This field is set to BRFO to indicate a BranchPower Front Office message. It is not used by the TPS Transaction Processing Modules.,7
Message_Type,N,1,87,Int,1,This field is exactly the same as the Message Type field (displacement 0032).,7
BankMaster_Destination_Branch_Number,N,2,88,Int,00,This field must be set to zeros. The TPS CIO module maps the source country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,7
BankMaster_Destination_Branch_Number,N,2,90,Int,00,This field must be set to zeros. The TPS CIO maps the destination country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,7
Filler,N,1,92,Int,0,This field should be set to zeros.,7
Inter_Branching_Flag,A,1,93,String,0,This flag is used along with the Transaction Definition Id (displacement 0081) to identify inter-branching transactions. This flag can have the following values :,7
Device_Id,N,4,94,Int,0000,The device ID from which the transaction originated. This field must be set to zeros where the device id is unknown.,7
Message_Function_Code,N,1,98,Int,3,This field determines the type of transaction. It can have the following values :,7
Transaction_Type,N,2,99,Int,00,Not currently used.,7
Force_Post_Flag,N,1,101,Int,0,This field determines how the transaction should be treated. It can have the following values :,7
Transaction_Date,N,8,102,Int,20170215,The date the transaction originated from the front-office application. It must be in the format CCYYMMDD.,7
User_Id,A,4,110,String,RODR,The ID of the user who entered the transaction. The TPS uses the first three characters of this field along with the Transaction Sequence Number and Transaction Chain Number to generate a unique transaction reference for the transaction within TPS and Ban,7
Transaction_Sequence_Number,N,5,114,Int,00000,Each transaction must be assigned a unique transaction sequence number. However, each transaction within a chained series of BranchPower transactions must have the same sequence number. The Transaction Chain Number for each transaction in the chain must b,7
Transaction_Chain_Number,N,2,119,Int,00,Each transaction within a chain must be assigned a unique chain number. For transactions that are not part of a chain, this field must be set to 01.,7
Host_Task_Id,A,4,121,String,ST01,This field specifies which TPM should process the transaction. For a full list of valid codes, see the Introduction to this document.,7
BankMaster_Transaction_Type_07,N,2,125,Int,  ,The BankMaster transaction type to be used for this transaction. It must exist on the BankMaster Control file. This field is used only for financial messages and on all other messages it should be set to 00.,7
Authorised_Flag,A,1,127,String,0,This field must be initialised to 0.,7
Directory,A,6,128,String,esiubp,The easidata directory name,7
Name_of_File,A,6,134,String,cusal3,The easidata parameter file name,7
Transaction_Type,N,1,140,Int,3,1- insert , 2 – Amend, 3 - Inquiry,7
No_of_Fields,N,2,141,Int,60,Total number of fields in parameter file,7
Dsp_of_CLIENT NR,N,8,143,Int,01060002,01 – Field  number in parameter file,7
Filler     ,A,3,151,String,   ,Filler,7
CLIENT NR ,N,6,154,Int,599815,Value for field,7
Dsp_of_SHORT NAME,A,8,160,String,02300008,,7
Filler      ,A,3,168,String,   ,Filler,7
SHORT NAME,A,30,171,String,                              ,Value for field,7
Dsp_of_POST NAME,A,8,201,String,03500231,,7
Filler     ,A,3,209,String,   ,Filler,7
POST NAME,A,50,212,String,                                                  ,Value for field,7
Dsp_of_ADDRESS 1,A,8,262,String,04300038,,7
Filler     ,A,3,270,String,   ,Filler,7
ADDRESS 1,A,30,273,String,                              ,Value for field,7
Dsp_of_ADDRESS 2,A,8,303,String,05300068,,7
Filler     ,A,3,311,String,   ,Filler,7
ADDRESS 2,A,30,314,String,                              ,Value for field,7
Dsp_of_ADDRESS 3,A,8,344,String,06200098,,7
Filler     ,A,3,352,String,   ,Filler,7
ADDRESS 3,A,20,355,String,                    ,Value for field,7
Dsp_of_ADDRESS 4,A,8,375,String,07200118,,7
Filler     ,A,3,383,String,   ,Filler,7
ADDRESS 4,A,20,386,String,                     ,Value for field,7
Dsp_of_POST CODE,A,8,406,String,08100138,,7
Filler     ,A,3,414,String,   ,Filler,7
POST CODE,A,10,417,String,          ,Value for field,7
Dsp_of_ALHPA-CODE,A,8,427,String,09151149,,7
Filler     ,A,3,435,String,   ,Filler,7
ALHPA-CODE,A,15,438,String,               ,Value for field,7
Dsp_of_DATE EST,A,8,453,String,10080176,,7
Filler     ,A,3,461,String,   ,Filler,7
DATE EST,N,8,464,Int,        ,Value for field,7
Dsp_of_HOME PHONE,A,8,472,String,11091852,,7
Filler     ,A,3,480,String,   ,Filler,7
HOME PHONE,A,9,483,String,         ,Value for field,7
Dsp_of_ALT PHONE,A,8,492,String,12091861,,7
Filler     ,A,3,500,String,   ,Filler,7
ALT PHONE,A,9,503,String,         ,Value for field,7
Dsp_of_OCCUPATION,A,8,512,String,13021870,,7
Filler     ,A,3,520,String,   ,Filler,7
OCCUPATION,A,2,523,String,  ,Value for field,7
Dsp_of_EMPLOYER,A,8,525,String,14161872,,7
Filler     ,A,3,533,String,   ,Filler,7
EMPLOYER,A,16,536,String,                ,Value for field,7
Dsp_of_LOC TAX NO,A,8,552,String,15101888,,7
Filler     ,A,3,560,String,   ,Filler,7
LOC TAX NO,A,10,563,String,          ,Value for field,7
Dsp_of_MARITAL ST,A,8,573,String,16011898,,7
Filler     ,A,3,581,String,   ,Filler,7
MARITAL ST,A,1,584,String, ,Value for field,7
Dsp_of_CNTR RISK,A,8,585,String,17021921,,7
Filler     ,A,3,593,String,   ,Filler,7
CNTR RISK,A,2,596,String,00,Value for field,7
Dsp_of_CNTR CTZN,A,8,598,String,18021923,,7
Filler     ,A,3,606,String,   ,Filler,7
CNTR CTZN,A,2,609,String,00,Value for field,7
Dsp_of_CNTR RES,A,8,611,String,19021925,,7
Filler     ,A,3,619,String,   ,Filler,7
CNTR RES,A,2,622,String,  ,Value for field,7
Dsp_of_NXT REV DT,A,8,624,String,20081927,,7
Filler     ,A,3,632,String,   ,Filler,7
NXT REV DT,N,8,635,Int,        ,Value for field,7
Dsp_of_ID-CARD-1,A,8,643,String,21081933,,7
Filler     ,A,3,651,String,   ,Filler,7
ID-CARD-1,A,8,654,String,        ,Value for field,7
Dsp_of_ID-CARD-2,A,8,662,String,22081941,,7
Filler     ,A,3,670,String,   ,Filler,7
ID-CARD-2,A,8,673,String,        ,Value for field,7
Dsp_of_ID-CARD-3 ,A,8,681,String,23081949,,7
Filler     ,A,3,689,String,   ,Filler,7
ID-CARD-3 ,A,8,692,String,        ,Value for field,7
Dsp_of_SOC ECO GR,A,8,700,String,24011957,,7
Filler     ,A,3,708,String,   ,Filler,7
SOC ECO GR,N,1,711,Int,0,Value for field,7
Dsp_of_FTHR/SPOUS,A,8,712,String,25121958,,7
Filler     ,A,3,720,String,   ,Filler,7
FTHR/SPOUS,A,12,723,String,            ,Value for field,7
Dsp_of_CONN CLNT1,A,8,735,String,26061970,,7
Filler     ,A,3,743,String,   ,Filler,7
CONN CLNT1,N,6,746,Int,      ,Value for field,7
Dsp_of_CONN CLNT2,A,8,752,String,27061976,,7
Filler     ,A,3,760,String,   ,Filler,7
CONN CLNT2,N,6,763,Int,      ,Value for field,7
Dsp_of_CONN CLNT3,A,8,769,String,28061982,,7
Filler     ,A,3,777,String,   ,Filler,7
CONN CLNT3,N,6,780,Int,      ,Value for field,7
Dsp_of_CONN CLNT4,A,8,786,String,29061988,,7
Filler     ,A,3,794,String,   ,Filler,7
CONN CLNT4,N,6,797,Int,      ,Value for field,7
Dsp_of_PRIME A/C,A,8,803,String,30130155,,7
Filler     ,A,3,811,String,   ,Filler,7
PRIME A/C,A,13,814,String,             ,Value for field,7
Dsp_of_BANK FLAG,A,8,827,String,31010175,,7
Filler     ,A,3,835,String,   ,Filler,7
BANK FLAG,N,1,838,Int,0,Value for field,7
Dsp_of_NON-RES CD,A,8,839,String,32010148,,7
Filler     ,A,3,847,String,   ,Filler,7
NON-RES CD,A,1,850,String, ,Value for field,7
Dsp_of_STAFF IND.,A,8,851,String,33010184,,7
Filler     ,A,3,859,String,   ,Filler,7
STAFF IND.,A,1,862,String, ,Value for field,7
Dsp_of_SEX INDIC.,A,8,863,String,34010186,,7
Filler     ,A,3,871,String,   ,Filler,7
SEX INDIC.,A,1,874,String, ,Value for field,7
Dsp_of_LANG IND ,A,8,875,String,35010185,,7
Filler     ,A,3,883,String,   ,Filler,7
LANG IND ,N,1,886,Int,0,Value for field,7
Dsp_of_GAP ANL IN,A,8,887,String,36010187,,7
Filler     ,A,3,895,String,   ,Filler,7
GAP ANL IN,N,1,898,Int,0,Value for field,7
Dsp_of_CORR ADD,A,8,899,String,37060190,,7
Filler     ,A,3,907,String,   ,Filler,7
CORR ADD,N,6,910,Int,      ,Value for field,7
Dsp_of_INT PAID ,A,8,916,String,38010291,,7
Filler     ,A,3,924,String,   ,Filler,7
INT PAID ,N,1,927,Int,0,Value for field,7
Dsp_of_INT RECD.,A,8,928,String,39010292,,7
Filler     ,A,3,936,String,   ,Filler,7
INT RECD.,N,1,939,Int,0,Value for field,7
Dsp_of_FX FUT IND,A,8,940,String,40010299,,7
Filler     ,A,3,948,String,   ,Filler,7
FX FUT IND,N,1,951,Int,0,Value for field,7
Dsp_of_COMM CODE ,A,8,952,String,41010399,,7
Filler     ,A,3,960,String,   ,Filler,7
COMM CODE ,A,1,963,String, ,Value for field,7
Dsp_of_ALT. MSG.?,A,8,964,String,42010385,,7
Filler     ,A,3,972,String,   ,Filler,7
ALT. MSG.?,N,1,975,Int,0,Value for field,7
Dsp_of_FIN. INST.,A,8,976,String,43010396,,7
Filler     ,A,3,984,String,   ,Filler,7
FIN. INST.,N,1,987,Int,0,Value for field,7
Dsp_of_TAX FLAG,A,8,988,String,44010397,,7
Filler     ,A,3,996,String,   ,Filler,7
TAX FLAG,A,1,999,String, ,Value for field,7
Dsp_of_LABEL PRT ,A,8,1000,String,45010374,,7
Filler     ,A,3,1008,String,   ,Filler,7
LABEL PRT ,N,1,1011,Int,0,Value for field,7
Dsp_of_STMT FLAG,A,8,1012,String,46011117,,7
Filler     ,A,3,1020,String,   ,Filler,7
STMT FLAG,N,1,1023,Int,0,Value for field,7
Dsp_of_FILLER,A,8,1024,String,47070168,,7
Filler     ,A,3,1032,String,   ,Filler,7
FILLER,A,7,1035,String,       ,Value for field,7
Dsp_of_BRANCH NO,A,8,1042,String,48041848,,7
Filler     ,A,3,1050,String,   ,Filler,7
BRANCH NO,N,4,1053,Int,0000,Value for field,7
Dsp_of_TITLES,A,8,1057,String,49100281,,7
Filler     ,A,3,1065,String,   ,Filler,7
TITLES,A,10,1068,String,          ,Value for field,7
Dsp_of_ZONE ,A,8,1078,String,50011994,,7
Filler     ,A,3,1086,String,   ,Filler,7
ZONE ,A,1,1089,String, ,Value for field,7
Dsp_of_ALTKEY ONE,A,8,1090,String,51151164,,7
Filler     ,A,3,1098,String,   ,Filler,7
ALTKEY ONE,A,15,1101,String,        ,Value for field,7
Dsp_of_MAIDEN SNM,A,8,1116,String,52301995,,7
Filler     ,A,3,1124,String,   ,Filler,7
MAIDEN SNM,A,30,1127,String,                              ,Value for field,7
Dsp_of_DEPT.INDIC,A,8,1157,String,53011908,,7
Filler     ,A,3,1165,String,   ,Filler,7
DEPT.INDIC,N,1,1168,Int, ,Value for field,7
Dsp_of_RSK GRADE,A,8,1169,String,54021909,,7
Filler     ,A,3,1177,String,   ,Filler,7
RSK GRADE,A,2,1180,String,  ,Value for field,7
Dsp_of_CUST TYPE,A,8,1182,String,55011911,,7
Filler     ,A,3,1190,String,   ,Filler,7
CUST TYPE,A,1,1193,String, ,Value for field,7
Dsp_of_DOC.IN.ORD,A,8,1194,String,56012025,,7
Filler     ,A,3,1202,String,   ,Filler,7
DOC.IN.ORD,A,1,1205,String,0,Value for field,7
Dsp_of_DOC. TYPE,A,8,1206,String,57012032,,7
Filler     ,A,3,1214,String,   ,Filler,7
DOC. TYPE,A,1,1217,String, ,Value for field,7
Dsp_of_CNTR ISSUE,A,8,1218,String,58022033,,7
Filler     ,A,3,1226,String,   ,Filler,7
CNTR ISSUE,A,2,1229,String,  ,Value for field,7
Dsp_of_REL. PARTY,A,8,1231,String,59012036,,7
Filler     ,A,3,1239,String,   ,Filler,7
REL. PARTY,A,1,1242,String,N,Value for field,7
Dsp_of_DTE INSERT,A,8,1243,String,60082026,,7
Filler     ,A,3,1251,String,   ,Filler,7
DTE INSERT,N,8,1254,Int,20170213,Value for field,7
Destination_Mailbox_8,A,1,0,String,b,,8
Destination_Country_Code_8,N,3,1,Int,470,,8
Destination_IMD_Code_8,N,6,4,Int,512345,,8
Destination_Branch_Number_8,N,4,10,Int,0005,,8
Source_Mailbox_8,A,1,14,String,a,,8
Source_Country_Code_8,N,3,15,Int,470,,8
Source_IMD_Code_8,N,6,18,Int,512345,,8
Source_Branch_Number_8,N,4,24,Int,0005,,8
Business_Period_8,N,4,28,Int,0000,,8
Message_Type_16,N,1,32,Int,1,,8
Sequence_Number_8,N,6,33,Int,000000,,8
Time_8,N,6,39,Int,095102,,8
Transaction_Status_8,N,1,45,Int,0,,8
Message_Flags_8,A,1,46,String,@,,8
Reconciliation_Period_8,N,4,47,Int,0000,,8
Reconciliation_Currency_8,N,3,51,Int,000,,8
Reconciliation_Amount_Sign_8,A,1,54,String,0,,8
Reconciliation_Amount_8,N,14,55,Int,00000000000000,,8
Filler_19,A,8,69,String,N       ,,8
Message_Length_8,N,4,77,Int,0666,,8
Transaction_Definition_Id_8,N,1,81,Int,0,,8
Transaction_Processed_Flag_8,N,1,82,Int,0,,8
BranchPower_Transaction_Reference_Id_8,A,4,83,String,BRFO,,8
Message_Type_17,N,1,87,Int,0,,8
BankMaster_Destination_Branch_Number_16,N,2,88,Int,00,,8
BankMaster_Destination_Branch_Number_17,N,2,90,Int,00,,8
Filler_20,N,1,92,Int,0,,8
Inter_Branching_Flag_8,A,1,93,String,0,,8
Device_Id_8,N,4,94,Int,0000,,8
Message_Function_Code_8,N,1,98,Int,3,,8
Transaction_Type_16,N,2,99,Int,00,,8
Force_Post_Flag_8,N,1,101,Int,0,,8
Transaction_Date_8,N,8,102,Int,20170215,,8
User_Id_8,A,4,110,String,RODR,,8
Transaction_Sequence_Number_8,N,5,114,Int,00000,,8
Transaction_Chain_Number_8,N,2,119,Int,00,,8
Host_Task_Id_8,A,4,121,String,ST01,,8
BankMaster_Transaction_Type_8,A,2,125,String,  ,,8
Authorised_Flag_8,A,1,127,String,0,,8
Filler_21,A,4,128,String,    ,,8
Directory_8,A,6,132,String,esiubp,,8
Name_of_File_8,A,6,138,String,cutax ,,8
Transaction_Type_17,N,1,144,Int,3,,8
No_of_Fields_6,N,2,145,Int,17,,8
Dsp_of_CUST. NO._3,N,8,147,Int,01060002,,8
Filler     _177,A,3,155,String,   ,,8
CUST. NO._3,N,6,158,Int,599815,,8
Dsp_of_TAX NUMBER_3,N,8,164,Int,02100009,,8
Filler     _178,A,3,172,String,   ,,8
TAX NUMBER_3,A,10,175,String,652371M   ,,8
Dsp_of_TITLE_3,N,8,185,Int,03200249,,8
Filler     _179,A,3,193,String,   ,,8
TITLE_3,A,20,196,String,MS                  ,,8
Dsp_of_P.SURNAME_3,N,8,216,Int,04500019,,8
Filler     _180,A,3,224,String,   ,,8
P.SURNAME_3,A,50,227,String,MANISCALCO                                        ,,8
Dsp_of_P.FORENAME_3,N,8,277,Int,05300069,,8
Filler     _181,A,3,285,String,   ,,8
P.FORENAME_3,A,30,288,String,CAMENZULI                     ,,8
Dsp_of_NO/BLD NME_3,N,8,318,Int,06500099,,8
Filler     _182,A,3,326,String,   ,,8
NO/BLD NME_3,A,50,329,String,NAGHAL 2                                          ,,8
Dsp_of_STREET NME_3,N,8,379,Int,07500149,,8
Filler     _183,A,3,387,String,   ,,8
STREET NME_3,A,50,390,String,TRIQ TAL-FUKLAR                                   ,,8
Dsp_of_LOCALITY_3,N,8,440,Int,08300199,,8
Filler     _184,A,3,448,String,   ,,8
LOCALITY_3,A,30,451,String,ATTARD                        ,,8
Dsp_of_POST CODE _3,N,8,481,Int,09100229,,8
Filler     _185,A,3,489,String,   ,,8
POST CODE _3,A,10,492,String,ATD1258   ,,8
Dsp_of_COUNTRY_3,N,8,502,Int,10100239,,8
Filler     _186,A,3,510,String,   ,,8
COUNTRY_3,A,10,513,String,MALTA     ,,8
Dsp_of_RES CY CDE_3,N,8,523,Int,11020343,,8
Filler     _187,A,3,531,String,   ,,8
RES CY CDE_3,A,2,534,String,MT,,8
Dsp_of_RECIP TYPE_3,N,8,536,Int,12010345,,8
Filler     _188,A,3,544,String,   ,,8
RECIP TYPE_3,N,1,547,Int,0,,8
Dsp_of_TIN _3,N,8,548,Int,13200346,,8
Filler     _189,A,3,556,String,   ,,8
TIN _3,A,20,559,String,                    ,,8
Dsp_of_DTE BIRTH_3,N,8,579,Int,14080366,,8
Filler     _190,A,3,587,String,   ,,8
DTE BIRTH_3,A,8,590,String,21021971,,8
Dsp_of_BIRTH CITY_3,N,8,598,Int,15350374,,8
Filler     _191,A,3,606,String,   ,,8
BIRTH CITY_3,A,35,609,String,PIETA                              ,,8
Dsp_of_BIRT CYCDE_3,N,8,644,Int,16020409,,8
Filler     _192,A,3,652,String,   ,,8
BIRT CYCDE_3,A,2,655,String,MT,,8
Dsp_of_BEN CY CDE_3,N,8,657,Int,17020411,,8
Filler     _193,A,3,665,String,   ,,8
BEN CY CDE_3,A,2,668,String,MT,,8
Destination_Mailbox,A,1,0,String,b,,9
Destination_Country_Code,N,3,1,Int,470,,9
Destination_IMD_Code,N,6,4,Int,512345,,9
Destination_Branch_Number,N,4,10,Int,0005,,9
Source_Mailbox,A,1,14,String,a,,9
Source_Country_Code,N,3,15,Int,470,,9
Source_IMD_Code,N,6,18,Int,512345,,9
Source_Branch_Number,N,4,24,Int,0019,,9
Business_Period,N,4,28,Int,0000,,9
Message_Type,N,1,32,Int,1,,9
Sequence_Number,N,6,33,Int,000000,,9
Time,N,6,39,Int,095254,,9
Transaction_Status,N,1,45,Int,0,,9
Message_Flags,A,1,46,String,@,,9
Reconciliation_Period,N,4,47,Int,0000,,9
Reconciliation_Currency,N,3,51,Int,000,,9
Reconciliation_Amount_Sign,A,1,54,String,0,,9
Reconciliation_Amount,N,14,55,Int,00000000000000,,9
Filler,N,8,69,Int,N       ,,9
Message_Length,N,4,77,Int,0666,,9
Transaction_Definition_Id,N,1,81,Int,0,,9
Transaction_Processed_Flag,N,1,82,Int,0,,9
BranchPower_Transaction_Reference_Id,A,4,83,String,BRFO,,9
Message_Type,N,1,87,Int,0,,9
BankMaster_Destination_Branch_Number,N,2,88,Int,00,,9
BankMaster_Destination_Branch_Number,N,2,90,Int,00,,9
Filler,N,1,92,Int,0,,9
Inter_Branching_Flag,A,1,93,String,0,,9
Device_Id,N,4,94,Int,0000,,9
